state,victim_count,population,per_cap
California,69541,39512223,175.99870298363118
Louisiana,5077,4648794,109.2111201313717
Florida,53793,21477737,250.4593477422691
Utah,4926,3205958,153.6514202618999
Texas,38640,28995881,133.26030686910323
Oklahoma,4785,3956971,120.92582937807732
New York,34505,19453561,177.37112500893795
Arkansas,4237,3017825,140.39912851142793
Illinois,20185,12671821,159.29044452253547
Kansas,3457,2913314,118.66211469137896
Pennsylvania,18636,12801989,145.57112961118776
New Mexico,3427,2096829,163.43726646283505
Washington,17229,7614893,226.25399989205363
Mississippi,2478,2976149,83.26196033867929
Nevada,16110,3080156,523.0254571521702
Delaware,2230,973764,229.00826072847218
New Jersey,14829,8882190,166.95206925319093
Idaho,2209,1787065,123.61050101703073
Maryland,14804,6045680,244.86906352966085
Nebraska,2166,1934408,111.9722416367178
Virginia,13770,8535519,161.32586665204542
District of Columbia,2132,705749,302.09040324534647
Ohio,13421,11689100,114.81636738499971
Alaska,2073,731545,283.37286154645307
Georgia,13402,10617423,126.22648640823672
New Hampshire,2015,1359711,148.19325577273406
Arizona,13009,7278717,178.72655304499406
Hawaii,1978,1415872,139.70189395651585
Indiana,12786,6732219,189.92252034581765
West Virginia,1902,1792147,106.12968690626383
Michigan,12521,9986857,125.37478007345054
Puerto Rico,1886,3193694,59.05387303855661
Colorado,12325,5758736,214.02266052828259
Rhode Island,1677,1059361,158.30297698329466
North Carolina,12223,10488084,116.5417820833624
Maine,1672,1344212,124.38514162944536
Massachusetts,11468,6949503,165.018994883519
Montana,1365,1068778,127.71595223704081
Iowa,9367,3155070,296.8872322959554
Wyoming,913,578759,157.75132654524594
Tennessee,8527,6833174,124.7882755510104
Vermont,856,623989,137.18190545025632
Wisconsin,8308,5822434,142.6894662953672
South Dakota,777,884659,87.83045218553137
Missouri,8160,6137428,132.95471653598216
North Dakota,760,762062,99.7294183412898
Minnesota,6847,5639632,121.408630917762
U.S. Minor Outlying Islands,116,360,32222.222222222223
Oregon,6817,4217737,161.62695777380145
Guam,112,165718,67.58469206724676
Kentucky,6815,4467673,152.54025977281685
U.S. Virgin Islands,92,104914,87.69087061783938
South Carolina,5853,5148714,113.67887204455326
American Samoa,42,55641,75.48390575295196
Alabama,5803,4903185,118.35164286071198
Northern Mariana Islands,20,55194,36.23582273435518
Connecticut,5636,3565287,158.07984041677432
