state,loss,population,per_cap
California,621452320,39512223,1572810.3174554366
South Carolina,25244978,5148714,490316.1838082286
New York,415812917,19453561,2137464.277105873
New Mexico,23903594,2096829,1139987.7624737164
Texas,313565225,28995881,1081412.9944870446
Iowa,21396701,3155070,678168.8203431303
Florida,295032829,21477737,1373668.133658588
Oklahoma,20748692,3956971,524357.9495528272
Ohio,170171951,11689100,1455817.3939824281
Kansas,19157289,2913314,657577.2127549588
Illinois,150496678,12671821,1187648.3892883272
District of Columbia,18942722,705749,2684059.346878281
Missouri,115913584,6137428,1888634.5224742354
Mississippi,18111738,2976149,608562.8777322641
Pennsylvania,108506204,12801989,847573.0138496448
Arkansas,17371515,3017825,575630.2966540472
Virginia,101661604,8535519,1191041.856974368
Hawaii,13671531,1415872,965590.8867468245
Colorado,100663897,5758736,1748020.694124544
Puerto Rico,13275104,3193694,415666.1220517683
Georgia,98762523,10617423,930192.9762052429
Kentucky,12590784,4467673,281819.7303159833
New Jersey,98727053,8882190,1111517.0132591175
Nebraska,11799640,1934408,609987.1381838785
Massachusetts,97583753,6949503,1404183.1912296463
Idaho,11670650,1787065,653062.423582802
Washington,88020254,7614893,1155896.1366889856
American Samoa,7806373,55641,14029893.42391402
Michigan,83999442,9986857,841099.8775690891
Rhode Island,7669670,1059361,723990.2167438673
Arizona,72128637,7278717,990952.62255697
Alaska,7342743,731545,1003730.8709648757
North Carolina,69409152,10488084,661790.5806246403
Maine,7073260,1344212,526201.2242116571
Maryland,62473193,6045680,1033352.6253457015
Delaware,6486617,973764,666138.5099469686
Minnesota,58341798,5639632,1034496.5416183184
Montana,5669293,1068778,530446.2666709083
Utah,47113946,3205958,1469574.648201879
Wyoming,5096704,578759,880626.3055952478
Nevada,44383452,3080156,1440948.1857412416
New Hampshire,4949296,1359711,363996.1727161139
Connecticut,41311798,3565287,1158722.930299861
West Virginia,4823786,1792147,269162.4068784536
Tennessee,40191616,6833174,588183.704966389
Vermont,4175799,623989,669210.3546697138
Oregon,38389702,4217737,910196.6765590174
South Dakota,3208241,884659,362652.84137729905
Wisconsin,36081681,5822434,619700.9875938483
U.S. Virgin Islands,620962,104914,591877.156528204
Indiana,35180105,6732219,522563.28856800415
Guam,259338,165718,156493.56135121107
Alabama,27549157,4903185,561862.4832634298
U.S. Minor Outlying Islands,201022,360,55839444.44444444
Louisiana,26717928,4648794,574728.1553022139
Northern Mariana Islands,67403,55194,122120.15798818711
North Dakota,25804940,762062,3386199.5480682673
